Date,Open,High,Low,Close
11/15/2024,3118.76,3130.25,3016.33,3091.19
11/14/2024,3154.99,3240.45,3061.36,3118.18
11/13/2024,3281.67,3338.61,3122.24,3154.99
11/12/2024,3326.22,3441.16,3211.88,3281.67
11/11/2024,3171.19,3371.62,3109.67,3328.34
11/10/2024,3078.85,3249.64,3073.8,3176.03
11/09/2024,2942.31,3094.76,2942.31,3078.85
11/08/2024,2894.22,2983.83,2865.67,2941.11
11/07/2024,2689.97,2919.01,2687.16,2894.17
11/06/2024,2413.97,2704.88,2410,2689.97
11/05/2024,2365.58,2478.28,2365.58,2413.99
11/04/2024,2469.08,2487.23,2359,2371.61
11/03/2024,2493.98,2495.53,2411.97,2467
11/02/2024,2518.73,2520.07,2471.04,2493
11/01/2024,2518.33,2582.38,2467.81,2518.73
10/31/2024,2676.98,2682.22,2500.97,2518.23
10/30/2024,2619.42,2718.81,2596.31,2676.99
10/29/2024,2513.99,2680,2513.99,2619.78
10/28/2024,2488.62,2522.92,2488.62,2513.99
10/27/2024,2486.94,2505.36,2462.49,2489.15
10/26/2024,2475.39,2502.28,2382.77,2486.94
10/25/2024,2534.99,2561.74,2453.07,2471.94
10/24/2024,2511.79,2558,2500.66,2534.99
10/23/2024,2633.18,2640.46,2456.21,2513.33
10/22/2024,2674.55,2681.69,2605.74,2633.18
10/21/2024,2710.52,2765.97,2656.62,2674.56
10/20/2024,2646.73,2718,2635.22,2710.45
10/19/2024,2642.56,2660.99,2630.99,2646.74
10/18/2024,2597.26,2673.4,2595.53,2642.55
10/17/2024,2618.57,2646.75,2576.01,2597.25
10/16/2024,2572.2,2644.3,2568.54,2618.57
10/15/2024,2619.73,2684.17,2538,2572.21
10/14/2024,2457.46,2638.3,2442.47,2621.33
10/13/2024,2470,2488.34,2436.06,2457.43
10/12/2024,2456.89,2483.99,2433.63,2470
10/11/2024,2365,2469.98,2360,2456.9
10/10/2024,2352.92,2415.15,2330.85,2365
10/09/2024,2439.76,2471.11,2353.5,2358.83
10/08/2024,2440.51,2455.69,2401.2,2439.76
10/07/2024,2438.66,2518.07,2417.73,2440.59
10/06/2024,2391.87,2455.05,2391.87,2438.23
10/05/2024,2429.19,2430.58,2391,2392.28
10/04/2024,2341.71,2439,2333.51,2430.53
10/03/2024,2384.16,2402.24,2311.08,2341.2
10/02/2024,2450.05,2498.02,2360.82,2386.44
10/01/2024,2613.14,2656.03,2419.08,2451.29
09/30/2024,2661.46,2670.67,2575.68,2613.14
09/29/2024,2675.88,2683.28,2635.5,2661.35
09/28/2024,2695.28,2707.33,2651.44,2676.34
09/27/2024,2630.89,2727.22,2617.2,2695.28
09/26/2024,2579.16,2663.55,2554.51,2632.77
09/25/2024,2650.82,2672.53,2569.13,2579.12
09/24/2024,2662.7,2665.28,2592.47,2650.82
09/23/2024,2573.01,2701.15,2529.16,2662.04
09/22/2024,2566.66,2632.11,2554.45,2573.01
09/21/2024,2540.68,2587.1,2530.01,2566.32
09/20/2024,2466.69,2570.29,2439.07,2540.73
